seconds_after_operational,left_raw_i16,right_raw_i16,status_hex
34.384151,0,-529,14211421
34.434101,0,-438,14211421
34.484049,0,-347,14211421
34.533999,0,-248,14211421
34.583943,0,-103,14211421
34.633892,0,-168,14211421
34.683838,0,-496,14211421
34.733789,-2,-642,14211421
34.783736,1,-738,14211421
34.833685,0,-694,14211421
34.883631,0,-597,14211421
34.933581,0,-501,14211421
34.983533,0,-404,14211421
35.033539,0,-313,14211421
35.083549,0,-206,14211421
35.133559,0,-98,14211421
35.183574,0,-187,14211421
35.233578,0,-378,14211421
35.283591,0,-477,14211421
35.333601,0,-602,14211421
35.383612,0,-644,14211421
35.433621,0,-563,14211421
35.483629,0,-475,14211421
35.533586,0,-388,14211421
35.583589,0,-301,14211421
35.633541,0,-143,14211421
35.683484,0,-72,14211421
35.733434,0,-271,14211421
35.783360,0,-443,14211421
35.833331,2,-493,14211421
35.883279,0,-520,14211421
35.933229,0,-478,14211421
35.983177,0,-391,14211421
36.033124,0,-297,14211421
36.083075,0,-208,14211421
36.133021,0,-101,14211421
36.182969,0,4,14211421
36.232917,0,-105,14211421
36.282861,0,-279,14211421
36.332815,0,-453,14211421
36.382757,0,-636,14211421
36.432709,0,-655,14211421
36.482653,0,-572,14211421
36.532606,0,-474,14211421
36.582550,0,-325,14211421
36.632504,0,-161,14211421
36.682446,0,-74,14211421
36.732399,0,-4,14211421
36.782344,0,-175,14211421
36.832294,0,-514,14211421
36.882243,0,-688,14211421
36.932190,0,-700,14211421
36.982136,0,-609,14211421
37.032084,0,-518,14211421
37.082036,0,-431,14211421
37.131980,0,-342,14211421
37.181931,0,-250,14211421
37.231877,0,-175,14211421
37.281824,0,-56,14211421
37.331775,3,-100,14211421
37.381726,0,-393,14211421
37.431669,0,-557,14211421
37.481617,0,-696,14211421
37.531565,0,-719,14211421
37.581513,0,-628,14211421
37.631460,0,-538,14211421
37.681409,0,-444,14211421
37.731358,0,-351,14211421
37.781311,0,-253,14211421
37.831250,0,-110,14211421
37.881202,0,-98,14211421
37.931153,0,-406,14211421
37.981099,-5,-730,14211421
38.031048,0,-870,14211421
